Unnamed: 0,datetime,open,high,low,close,volume,date,EMA_slow,EMA_fast,RSI,BB_upper,BB_middle,BB_lower,ATR,MACD,MACD_signal,MACD_hist,slowk,slowd,Norm_ATR,Log_Returns,Volatility,ADX,ROC,signals,portfolio_value,shares
0,2019-09-08 12:00:00,10000.0,10000.0,10000.0,10000.0,0.002,2019-09-08,,,,,,,,,,,,,,,,,,0,10000.0,0.0
1,2019-09-08 18:00:00,10344.77,10412.65,10324.77,10391.63,3096.289,2019-09-08,,,,,,,,,,,,,,0.03841558142939558,,,,0,10000.0,0.0
2,2019-09-09 00:00:00,10316.62,10316.68,10251.51,10304.32,2131.251,2019-09-09,,,,,,,,,,,,,,-0.00843744964304696,,,,0,10000.0,0.0
3,2019-09-09 06:00:00,10304.32,10475.54,10077.22,10414.6,3779.472,2019-09-09,,,,,,,,,,,,,,0.010645443050022976,,,,0,10000.0,0.0
4,2019-09-09 12:00:00,10411.7,10411.7,10183.31,10263.33,5426.249,2019-09-09,,,,,,,,,,,,,,-0.01463131934294367,,,,0,10000.0,0.0
5,2019-09-09 18:00:00,10261.38,10420.65,10228.28,10307.0,3487.401,2019-09-09,,,,,,,,,,,,,,0.004245927567182187,,,,0,10000.0,0.0
6,2019-09-10 00:00:00,10307.0,10382.97,10251.86,10262.85,2373.121,2019-09-10,,,,,,,,,,,,,,-0.004292697107358255,,,,0,10000.0,0.0
7,2019-09-10 06:00:00,10263.35,10304.82,10206.87,10254.56,2289.418,2019-09-10,,,,,,,229.11571428571395,,,,,,0.022342812786283757,-0.0008080942429991233,,,,0,10000.0,0.0
8,2019-09-10 12:00:00,10252.7,10270.58,10167.91,10213.69,2169.401,2019-09-10,,,,,,,211.05204081632627,,,,,,0.020663642700760085,-0.003993507438746478,,,,0,10000.0,0.0
9,2019-09-10 18:00:00,10213.58,10218.72,9940.87,10102.02,2237.015,2019-09-10,,,,,,,220.59460641399372,,,,,,0.02183668280343869,-0.01099357341567171,,,,0,10000.0,0.0
10,2019-09-11 00:00:00,10094.27,10293.11,9974.69,10028.63,2111.093,2019-09-11,,,51.34725607747542,,,,234.56966264056607,,,,,,0.023390000692075197,-0.007291401434642983,,,,0,10000.0,0.0
11,2019-09-11 06:00:00,10024.78,10138.01,9884.31,10070.53,1715.056,2019-09-11,,,53.389529111570425,,,,237.30256797762814,,,,,,0.023564059486206598,0.004169334509188243,,,,0,10000.0,0.0
12,2019-09-11 12:00:00,10062.34,10110.21,9934.11,10054.43,3114.724,2019-09-11,,,52.44955133596433,,,,228.55934398082394,,,,,,0.022732203017060533,-0.0016000035214660878,,,,0,10000.0,0.0
