Unnamed: 0,datetime,open,high,low,close,volume,date,EMA_slow,EMA_fast,RSI,BB_upper,BB_middle,BB_lower,ATR,Norm_ATR,MACD,MACD_signal,MACD_hist,slowk,slowd,ROC,ADX,DC_upper,DC_lower,DC_middle,Volume_SMA,Volume_Threshold,OBV,CMF,Log_Returns,Cumulative_Returns,Volatility,Close_Relative,Ichimoku_Tenkan,Ichimoku_Kijun,Ichimoku_Senkou_A,Ichimoku_Senkou_B,Parabolic_SAR,Sharpe_Ratio,Drawdown,Ulcer_Index,signals,portfolio_value,shares,predicted_signal
0,2019-09-08 12:00:00,10000.0,10000.0,10000.0,10000.0,0.002,2019-09-08,,,,,,,,,,,,,,,,,,,,,0.002,,,0.0,,,,,,,,,,,0,10000,0.0,
1,2019-09-08 18:00:00,10344.77,10412.65,10324.77,10391.63,3096.289,2019-09-08,,,,,,,,,,,,,,,,,,,,,3096.291,,0.03841558142939558,0.03916299999999984,,0.7608101957214312,,,,,10000.0,,,,0,10000,0.0,
2,2019-09-09 00:00:00,10316.62,10316.68,10251.51,10304.32,2131.251,2019-09-09,,,,,,,,,,,,,,,,,,,,,965.04,,-0.00843744964304696,0.030432000000000015,,0.8103421819855675,,,,,10008.253,,,,0,10000,0.0,
3,2019-09-09 06:00:00,10304.32,10475.54,10077.22,10414.6,3779.472,2019-09-09,,,,,,,,,,,,,,,,,,,,,4744.512000000001,,0.010645443050022976,0.04146000000000005,,0.8470074312110859,,,,,10016.34094,,,,0,10000,0.0,
4,2019-09-09 12:00:00,10411.7,10411.7,10183.31,10263.33,5426.249,2019-09-09,,,,,,,,,,,,,,,,,,,,,-681.7369999999992,,-0.01463131934294367,0.02633299999999994,,0.35036560269714084,,,,,10034.7089024,,,,0,10000,0.0,
5,2019-09-09 18:00:00,10261.38,10420.65,10228.28,10307.0,3487.401,2019-09-09,,,,,,,,,,,,,,,,,,,,,2805.6640000000007,,0.004245927567182187,0.03069999999999995,,0.4092114155013763,,,,,10052.342146304,,,,0,10000,0.0,
6,2019-09-10 00:00:00,10307.0,10382.97,10251.86,10262.85,2373.121,2019-09-10,,,,,,,,,,,,,,,,,,,,,432.5430000000006,,-0.004292697107358255,0.026285000000000114,,0.0838227442605437,,,,,10069.27006045184,,,,0,10000,0.0,
7,2019-09-10 06:00:00,10263.35,10304.82,10206.87,10254.56,2289.418,2019-09-10,,,,,,,229.11571428571395,0.022342812786283757,,,,,,,,,,,,,-1856.8749999999995,,-0.0008080942429991233,0.025455999999999923,,0.48688106176619933,,,,,10085.520858033766,,,,0,10000,0.0,
8,2019-09-10 12:00:00,10252.7,10270.58,10167.91,10213.69,2169.401,2019-09-10,,,,,,,211.05204081632627,0.020663642700760085,,,,,,,,,,,,,-4026.2759999999994,,-0.003993507438746478,0.02136899999999997,,0.44589461381124595,10237.77,,,,10101.121623712415,,,,0,10000,0.0,
9,2019-09-10 18:00:00,10213.58,10218.72,9940.87,10102.02,2237.015,2019-09-10,,,,,,,220.59460641399372,0.02183668280343869,,,,,,,,,,,,,-6263.290999999999,,-0.01099357341567171,0.010202000000000044,,0.5799892028072718,10208.205000000002,,,,10475.54,,,,0,10000,0.0,
